Count of buzzword,Column Labels,,
Row Labels,FALSE,TRUE,Grand Total
Antriebstechnik,16,11,27
Assembly and factory automation,5,10,15
Automotive,23,15,38
Dimensionelle Messtechnik,12,6,18
FÌ¦rder- und Lagertechnik,10,3,13
Fluidtechnik,8,1,9
Grafische Maschinen,7,4,11
Handwerkzeuge,,2,2
"Kompressoren, Druckluft- und Vakuumtechnik",3,,3
Kunststoffmaschinen,10,6,16
Photonics,28,16,44
PrÌ_zisionswerkzeuge,28,14,42
Pumpentechnik,15,4,19
Raumfahrttechnik,22,10,32
Schweiss- und Schneidtechnik,15,3,18
Swiss Additive Manufacturing Group,22,14,36
Swiss Airport Suppliers,4,3,7
Swiss ASD,40,11,51
Textilmaschinen,29,14,43
Transmission und Distribution,,4,4
Umwelttechnik,15,3,18
Verbrennungsmaschinen,6,5,11
Verfahrenstechnischer Maschinen- und Apparatebau,10,3,13
Verpackungstechnik,14,3,17
Werkzeug- und Formenbau,25,6,31
Werkzeugmaschinen und Fertigungstechnik,53,22,75
Zulieferer ZMIS,21,3,24
Grand Total,441,196,637